@id,wd:Q9439,full_coverage
schema1:name{Literal}@my,ဝိတိုရိယ ဘုရင်မ,schema1:name{Literal}@my
schema1:name{Literal}@mzn,ملکه ویکتوریا,schema1:name{Literal}@mzn
schema1:name{Literal}@nan,Victoria (Liân-ha̍p Ông-kok),schema1:name{Literal}@nan
schema1:name{Literal}@nb,Victoria av Storbritannia,schema1:name{Literal}@nb
schema1:name{Literal}@nds,Victoria vun Grootbritannien,schema1:name{Literal}@nds
schema1:name{Literal}@ne,रानी भिक्टोरिया,schema1:name{Literal}@ne
schema1:name{Literal}@nl,Victoria van het Verenigd Koninkrijk,schema1:name{Literal}@nl
schema1:name{Literal}@nn,Victoria av Storbritannia,schema1:name{Literal}@nn
schema1:name{Literal}@nrm,Victoria du Rouoyaume Unni,schema1:name{Literal}@nrm
schema1:name{Literal}@oc,Victòria I dau Reiaume Unit,schema1:name{Literal}@oc
schema1:name{Literal}@pa,﻿ਮਲਿਕਾ ਵਿਕਟੋਰੀਆ,schema1:name{Literal}@pa
schema1:name{Literal}@pl,Wiktoria,schema1:name{Literal}@pl
schema1:name{Literal}@pms,Vitòria,schema1:name{Literal}@pms
schema1:name{Literal}@pnb,ملکہ وکٹوریہ,schema1:name{Literal}@pnb
schema1:name{Literal}@pt,Vitória do Reino Unido,schema1:name{Literal}@pt
schema1:name{Literal}@pt-br,Vitória do Reino Unido,schema1:name{Literal}@pt-br
schema1:name{Literal}@qu,Victoria,schema1:name{Literal}@qu
schema1:name{Literal}@ro,Victoria a Regatului Unit,schema1:name{Literal}@ro
schema1:name{Literal}@ru,Виктория,schema1:name{Literal}@ru
schema1:name{Literal}@rue,Виктория (Споене кральовство),schema1:name{Literal}@rue
schema1:name{Literal}@sa,विक्टोरिया,schema1:name{Literal}@sa
schema1:name{Literal}@scn,Vittoria dû Regnu Unitu,schema1:name{Literal}@scn
schema1:name{Literal}@sco,Queen Victoria,schema1:name{Literal}@sco
schema1:name{Literal}@sd,راڻي وڪٽوريا (برطانيا),schema1:name{Literal}@sd
schema1:name{Literal}@sgs,Vėktuorėjė (karalienė),schema1:name{Literal}@sgs
schema1:name{Literal}@sh,Viktorija,schema1:name{Literal}@sh
schema1:name{Literal}@si,වික්ටෝරියා රැජින - එක්සත් රාජධානිය,schema1:name{Literal}@si
schema1:name{Literal}@sk,Viktória,schema1:name{Literal}@sk
schema1:name{Literal}@sl,Viktorija Britanska,schema1:name{Literal}@sl
schema1:name{Literal}@sm,Masiofo Vitoria,schema1:name{Literal}@sm
schema1:name{Literal}@sq,Mbretëresha Victoria,schema1:name{Literal}@sq
schema1:name{Literal}@sr,Викторија Хановерска,schema1:name{Literal}@sr
schema1:name{Literal}@sv,Viktoria av Storbritannien,schema1:name{Literal}@sv
schema1:name{Literal}@sw,Viktoria wa Uingereza,schema1:name{Literal}@sw
schema1:name{Literal}@ta,ஐக்கிய இராச்சியத்தின் விக்டோரியா,schema1:name{Literal}@ta
schema1:name{Literal}@te,బ్రిటన్‌ రాణి విక్టోరియా,schema1:name{Literal}@te
schema1:name{Literal}@th,สมเด็จพระราชินีนาถวิกตอเรียแห่งสหราชอาณาจักร,schema1:name{Literal}@th
schema1:name{Literal}@tl,Victoria ng Nagkakaisang Kaharian,schema1:name{Literal}@tl
schema1:name{Literal}@tr,Victoria,schema1:name{Literal}@tr
schema1:name{Literal}@tt,Виктория,schema1:name{Literal}@tt
