@id,http://viaf.org/viaf/96994048,full_coverage
schema:alternateName{Literal}[128],Viljem èekspir,Viljem èekspir
schema:alternateName{Literal}[129],Viljem Šekspir,Viljem Šekspir
schema:alternateName{Literal}[130],Villiam Shakespeare,Villiam Shakespeare
schema:alternateName{Literal}[131],Villiam Shekspir,Villiam Shekspir
schema:alternateName{Literal}[132],Villiam Šekspir,Villiam Šekspir
schema:alternateName{Literal}[133],Villiyam Ṣēkspiyar,Villiyam Ṣēkspiyar
schema:alternateName{Literal}[134],Vilmos Shakespere,Vilmos Shakespere
schema:alternateName{Literal}[135],Vilyam Šek'spir,Vilyam Šek'spir
schema:alternateName{Literal}[136],Vilém Šekspir,Vilém Šekspir
schema:alternateName{Literal}[137],Vilʹi︠a︡m Shekspir,Vilʹi︠a︡m Shekspir
schema:alternateName{Literal}[138],Vilʹjam S̆ekspir,Vilʹjam S̆ekspir
schema:alternateName{Literal}[139],Vilʹjam Šekspir,Vilʹjam Šekspir
schema:alternateName{Literal}[140],Vil’i︠a︡m Shekspir,Vil’i︠a︡m Shekspir
schema:alternateName{Literal}[141],Vlilliam Shēkʻspʻiyr,Vlilliam Shēkʻspʻiyr
schema:alternateName{Literal}[142],Vylem Šekspyr,Vylem Šekspyr
schema:alternateName{Literal}[143],Vyli︠e︡m Shekspyr,Vyli︠e︡m Shekspyr
schema:alternateName{Literal}[144],Vî-lièn Sâ-sṳ-pí-â,Vî-lièn Sâ-sṳ-pí-â
schema:alternateName{Literal}[145],Vėljams Šekspīrs,Vėljams Šekspīrs
schema:alternateName{Literal}[146],Vīlyām Shikspīr,Vīlyām Shikspīr
schema:alternateName{Literal}[147],W. S,W. S
schema:alternateName{Literal}[148],W. S.,W. S.
schema:alternateName{Literal}[149],W. Shakespear,W. Shakespear
schema:alternateName{Literal}[150],W. Shakespeare,W. Shakespeare
schema:alternateName{Literal}[151],W. Shakespearowy,W. Shakespearowy
schema:alternateName{Literal}[152],W. Shakespere,W. Shakespere
schema:alternateName{Literal}[153],W. Shakspeare,W. Shakspeare
schema:alternateName{Literal}[154],W. Shakspere,W. Shakspere
schema:alternateName{Literal}[155],W. Szekspir,W. Szekspir
schema:alternateName{Literal}[156],W. 세익스피어,W. 세익스피어
schema:alternateName{Literal}[157],W. 섹스피어,W. 섹스피어
schema:alternateName{Literal}[158],W. 셰익스피어,W. 셰익스피어
schema:alternateName{Literal}[159],Wi Shakespeare,Wi Shakespeare
schema:alternateName{Literal}[160],Wi-li-am S'egsi-pe-yar,Wi-li-am S'egsi-pe-yar
schema:alternateName{Literal}[161],Wi. Shakespeare,Wi. Shakespeare
schema:alternateName{Literal}[162],Wil'yam Shex'pir,Wil'yam Shex'pir
schema:alternateName{Literal}[163],Wilhelm Shakespear,Wilhelm Shakespear
schema:alternateName{Literal}[164],Wilhelm Shakespeare,Wilhelm Shakespeare
schema:alternateName{Literal}[165],Wilhelm Shakspear,Wilhelm Shakspear
schema:alternateName{Literal}[166],Wilhelm Shakspeare,Wilhelm Shakspeare
schema:alternateName{Literal}[167],Wiliam Sekspir,Wiliam Sekspir
schema:alternateName{Literal}[168],Wiliam Siksbir,Wiliam Siksbir
schema:alternateName{Literal}[169],Wiliam Sikspir,Wiliam Sikspir
schema:alternateName{Literal}[170],Wiliam Szekspir,Wiliam Szekspir
schema:alternateName{Literal}[171],Wiliam Szekspjr,Wiliam Szekspjr
schema:alternateName{Literal}[172],Wiliam S̆ekhspiri,Wiliam S̆ekhspiri
schema:alternateName{Literal}[173],Wiliam èekspir,Wiliam èekspir
schema:alternateName{Literal}[174],Wiliam èiksbir,Wiliam èiksbir
schema:alternateName{Literal}[175],Wiliam èikspir,Wiliam èikspir
schema:alternateName{Literal}[176],Wiliam Šekspir,Wiliam Šekspir
schema:alternateName{Literal}[177],Wiliyam Šaksbīr,Wiliyam Šaksbīr
schema:alternateName{Literal}[178],Wiljam Shakespeare,Wiljam Shakespeare
schema:alternateName{Literal}[179],Wiljam Szekspir,Wiljam Szekspir
schema:alternateName{Literal}[180],Wiljams Schekspirs,Wiljams Schekspirs
schema:alternateName{Literal}[181],Wiljem Šekspir,Wiljem Šekspir
schema:alternateName{Literal}[182],Wiljām Šekspir,Wiljām Šekspir
schema:alternateName{Literal}[183],Will Shakespeare,Will Shakespeare
schema:alternateName{Literal}[184],Will Shakspere,Will Shakspere
schema:alternateName{Literal}[185],Willelm Scacaspere,Willelm Scacaspere
schema:alternateName{Literal}[186],Willem Shakspeare,Willem Shakspeare
schema:alternateName{Literal}[187],Willhelm Shakespear,Willhelm Shakespear
schema:alternateName{Literal}[188],Willhelm Shakespeare,Willhelm Shakespeare
schema:alternateName{Literal}[189],William Chakespear,William Chakespear
schema:alternateName{Literal}[190],William Chekchapiyera,William Chekchapiyera
schema:alternateName{Literal}[191],William G. Shakespeare,William G. Shakespeare
schema:alternateName{Literal}[192],William Sakespear,William Sakespear
schema:alternateName{Literal}[193],William Schakespear,William Schakespear
schema:alternateName{Literal}[194],William Schakespeare,William Schakespeare
schema:alternateName{Literal}[195],William Sekspir,William Sekspir
schema:alternateName{Literal}[196],William Shaekespeare,William Shaekespeare
schema:alternateName{Literal}[197],William Shak-Speare,William Shak-Speare
schema:alternateName{Literal}[198],William Shak-speare,William Shak-speare
schema:alternateName{Literal}[199],William Shake-Spear,William Shake-Spear
schema:alternateName{Literal}[200],William Shake-Speare,William Shake-Speare
schema:alternateName{Literal}[201],William Shake-speare,William Shake-speare
schema:alternateName{Literal}[202],William Shakespear,William Shakespear
schema:alternateName{Literal}[203],William Shakespeare,William Shakespeare
schema:alternateName{Literal}[204],William Shakesperae,William Shakesperae
schema:alternateName{Literal}[205],William Shakespere,William Shakespere
schema:alternateName{Literal}[206],William Shakspear,William Shakspear
schema:alternateName{Literal}[207],William Shakspeare,William Shakspeare
schema:alternateName{Literal}[208],William Shaksper,William Shaksper
schema:alternateName{Literal}[209],William Shakspere,William Shakspere
schema:alternateName{Literal}[210],William Shashibiya,William Shashibiya
schema:alternateName{Literal}[211],William Szekspir,William Szekspir
schema:alternateName{Literal}[212],William èekspir,William èekspir
schema:alternateName{Literal}[213],William Šekspir,William Šekspir
schema:alternateName{Literal}[214],William(1564-1616) -- ハムレット Shakespeare,William(1564-1616) -- ハムレット Shakespeare
schema:alternateName{Literal}[215],Williyam Sakisbir,Williyam Sakisbir
schema:alternateName{Literal}[216],Williyam èakisb¯ir,Williyam èakisb¯ir
schema:alternateName{Literal}[217],Williyam Šakisbīr,Williyam Šakisbīr
schema:alternateName{Literal}[218],Willm Shakspere,Willm Shakspere
schema:alternateName{Literal}[219],Willyam Siksbir,Willyam Siksbir
schema:alternateName{Literal}[220],Willyam èiksbir,Willyam èiksbir
schema:alternateName{Literal}[221],Willyam Šiksbīr,Willyam Šiksbīr
schema:alternateName{Literal}[222],Willŏm Sweksŭp'iŏ,Willŏm Sweksŭp'iŏ
schema:alternateName{Literal}[223],Willŏm Syeiksŭpiŏ,Willŏm Syeiksŭpiŏ
schema:alternateName{Literal}[224],Wilyam Shikisbir,Wilyam Shikisbir
schema:alternateName{Literal}[225],Wilyam Shikisbīr,Wilyam Shikisbīr
schema:alternateName{Literal}[226],Wilyam Šakasbīr,Wilyam Šakasbīr
schema:alternateName{Literal}[227],Wilyam Šaksbīr,Wilyam Šaksbīr
schema:alternateName{Literal}[228],Wilyam Šakspīr,Wilyam Šakspīr
schema:alternateName{Literal}[229],Wilyam Šekesper,Wilyam Šekesper
schema:alternateName{Literal}[230],Wilyam Šikisbīr,Wilyam Šikisbīr
schema:alternateName{Literal}[231],Wilyam Šiksbīr,Wilyam Šiksbīr
schema:alternateName{Literal}[232],Wilyam Šikspīr,Wilyam Šikspīr
schema:alternateName{Literal}[233],Wilýam Şekspir,Wilýam Şekspir
schema:alternateName{Literal}[234],Wiremu Hākipia,Wiremu Hākipia
schema:alternateName{Literal}[235],Ww Šeqspiyr,Ww Šeqspiyr
schema:alternateName{Literal}[236],Wīlyam Shiksbīr,Wīlyam Shiksbīr
schema:alternateName{Literal}[237],Wīlyām Šeqspīr,Wīlyām Šeqspīr
schema:alternateName{Literal}[238],Wīlīam Šiksbīr,Wīlīam Šiksbīr
schema:alternateName{Literal}[239],Wīlīam Šikspīr,Wīlīam Šikspīr
schema:alternateName{Literal}[240],Wīlīyām Šakaspīr,Wīlīyām Šakaspīr
schema:alternateName{Literal}[241],Wиллиам Шакеспеаре,Wиллиам Шакеспеаре
schema:alternateName{Literal}[242],Śeksapiyara,Śeksapiyara
schema:alternateName{Literal}[243],Śeksper,Śeksper
schema:alternateName{Literal}[244],Śekspiyar,Śekspiyar
schema:alternateName{Literal}[245],Ŝekspiro,Ŝekspiro
schema:alternateName{Literal}[246],Şekspir,Şekspir
schema:alternateName{Literal}[247],Šaḳisper,Šaḳisper
schema:alternateName{Literal}[248],Šeikspir Uil'jam,Šeikspir Uil'jam
schema:alternateName{Literal}[249],Šeiqspir,Šeiqspir
schema:alternateName{Literal}[250],Šekesper,Šekesper
schema:alternateName{Literal}[251],Šekspir,Šekspir
schema:alternateName{Literal}[252],Šekspiras,Šekspiras
schema:alternateName{Literal}[253],Šekspire,Šekspire
schema:alternateName{Literal}[254],Šekspirs,Šekspirs
schema:alternateName{Literal}[255],Šekspirʺ,Šekspirʺ
schema:alternateName{Literal}[256],Šekspyras,Šekspyras
schema:alternateName{Literal}[257],Šekspīrs,Šekspīrs
schema:alternateName{Literal}[258],Šeqsper,Šeqsper
schema:alternateName{Literal}[259],Šeḳisper,Šeḳisper
schema:alternateName{Literal}[260],Ŭi-lièng Să-sê̤ṳ-bī-ā,Ŭi-lièng Să-sê̤ṳ-bī-ā
schema:alternateName{Literal}[261],Γουίλιαμ Σαίξπηρ,Γουίλιαμ Σαίξπηρ
schema:alternateName{Literal}[262],Γουίλλιαμ Σαίξπηρ,Γουίλλιαμ Σαίξπηρ
schema:alternateName{Literal}[263],Ουίλιαμ Σαίξπηρ,Ουίλιαμ Σαίξπηρ
schema:alternateName{Literal}[264],Ουίλλιαμ Σαίξπηρ,Ουίλλιαμ Σαίξπηρ
schema:alternateName{Literal}[265],Σέξπιρ,Σέξπιρ
schema:alternateName{Literal}[266],Σαίκσπηρ,Σαίκσπηρ
schema:alternateName{Literal}[267],Σαίξπηρ,Σαίξπηρ
schema:alternateName{Literal}[268],Σαικσπείρος,Σαικσπείρος
schema:alternateName{Literal}[269],Σεξπήρος,Σεξπήρος
schema:alternateName{Literal}[270],Ўільям Шэксьпір,Ўільям Шэксьпір
schema:alternateName{Literal}[271],В Шекспир,В Шекспир
schema:alternateName{Literal}[272],В. Шекспир,В. Шекспир
schema:alternateName{Literal}[273],В. Шекспиръ,В. Шекспиръ
schema:alternateName{Literal}[274],Вилиам Шекспир,Вилиам Шекспир
schema:alternateName{Literal}[275],Вилијам Шекспир,Вилијам Шекспир
schema:alternateName{Literal}[276],Вильям Шекспир,Вильям Шекспир
schema:alternateName{Literal}[277],Вилям Шекспир,Вилям Шекспир
schema:alternateName{Literal}[278],Вільям Шекспір,Вільям Шекспір
schema:alternateName{Literal}[279],У Шекспир,У Шекспир
schema:alternateName{Literal}[280],У. Шекспир,У. Шекспир
schema:alternateName{Literal}[281],У. Шэкспір,У. Шэкспір
schema:alternateName{Literal}[282],Уилиям Шекспир,Уилиям Шекспир
schema:alternateName{Literal}[283],Уиллиам Шэкспир,Уиллиам Шэкспир
schema:alternateName{Literal}[284],Уильям Шекспир,Уильям Шекспир
schema:alternateName{Literal}[285],Уильям Шэкспир,Уильям Шэкспир
schema:alternateName{Literal}[286],Уилям Шекспир,Уилям Шекспир
schema:alternateName{Literal}[287],Уйлям Шекспир,Уйлям Шекспир
schema:alternateName{Literal}[288],Уільям Шэкспір,Уільям Шэкспір
schema:alternateName{Literal}[289],Шакеспер,Шакеспер
schema:alternateName{Literal}[290],Шакеспир,Шакеспир
schema:alternateName{Literal}[291],Шекеспир,Шекеспир
schema:alternateName{Literal}[292],Шекспiр,Шекспiр
schema:alternateName{Literal}[293],Шекспир,Шекспир
schema:alternateName{Literal}[294],Шэкспiр,Шэкспiр
schema:alternateName{Literal}[295],Շէքսպիր,Շէքսպիր
schema:alternateName{Literal}[296],Ուիլիըմ Շէյքսփիր,Ուիլիըմ Շէյքսփիր
schema:alternateName{Literal}[297],Ուիլյամ Շեքսպիր,Ուիլյամ Շեքսպիր
schema:alternateName{Literal}[298],וו שייקספיר,וו שייקספיר
schema:alternateName{Literal}[299],וו שעקספיער,וו שעקספיער
schema:alternateName{Literal}[300],וו שעקספיר,וו שעקספיר
schema:alternateName{Literal}[301],וו שקספיר,וו שקספיר
schema:alternateName{Literal}[302],וו. שייקספיר,וו. שייקספיר
schema:alternateName{Literal}[303],וויליאם שייקספיר,וויליאם שייקספיר
schema:alternateName{Literal}[304],וויליאם שיקספיר,וויליאם שיקספיר
schema:alternateName{Literal}[305],וויליאם שעפקספיר,וויליאם שעפקספיר
schema:alternateName{Literal}[306],וויליאם שעקספיער,וויליאם שעקספיער
schema:alternateName{Literal}[307],וויליאם שעקספיר,וויליאם שעקספיר
schema:alternateName{Literal}[308],וויליאם שקספיר,וויליאם שקספיר
schema:alternateName{Literal}[309],וויליאם ‏שקספיר,וויליאם ‏שקספיר
schema:alternateName{Literal}[310],וויליאמ שעקספיר,וויליאמ שעקספיר
schema:alternateName{Literal}[311],וויליאמ שעקספער,וויליאמ שעקספער
schema:alternateName{Literal}[312],ווילים שקספיר,ווילים שקספיר
schema:alternateName{Literal}[313],ווילליאם שעקספיער,ווילליאם שעקספיער
schema:alternateName{Literal}[314],ווילליאם שעקספיר,ווילליאם שעקספיר
schema:alternateName{Literal}[315],וילאם שקספיר,וילאם שקספיר
schema:alternateName{Literal}[316],ויליאם שייקספיר,ויליאם שייקספיר
schema:alternateName{Literal}[317],ויליאם שיקספיר,ויליאם שיקספיר
schema:alternateName{Literal}[318],ויליאם שכספיר,ויליאם שכספיר
schema:alternateName{Literal}[319],ויליאם שקספיר,ויליאם שקספיר
schema:alternateName{Literal}[320],ויליאם ‏שיקספיר,ויליאם ‏שיקספיר
schema:alternateName{Literal}[321],ויליאם ‏שקספיר,ויליאם ‏שקספיר
schema:alternateName{Literal}[322],ויליים שקספיר,ויליים שקספיר
schema:alternateName{Literal}[323],וילים שייקספיר,וילים שייקספיר
schema:alternateName{Literal}[324],וילים שכספיר,וילים שכספיר
schema:alternateName{Literal}[325],וילים שעקספיר,וילים שעקספיר
schema:alternateName{Literal}[326],וילים שקספיר,וילים שקספיר
schema:alternateName{Literal}[327],ו׳ שכספיר,ו׳ שכספיר
schema:alternateName{Literal}[328],ייליאם שקספיר,ייליאם שקספיר
schema:alternateName{Literal}[329],שעקספיר,שעקספיר
schema:alternateName{Literal}[330],שעקספער,שעקספער
schema:alternateName{Literal}[331],שקספיר,שקספיר
schema:alternateName{Literal}[332],שקספער,שקספער
schema:alternateName{Literal}[333],װ שעקספיר,װ שעקספיר
schema:alternateName{Literal}[334],װיליאם שעקספיר,װיליאם שעקספיר
schema:alternateName{Literal}[335],װילליאם שעקספיר,װילליאם שעקספיר
schema:alternateName{Literal}[336],شاكسبير، وليام,شاكسبير، وليام
schema:alternateName{Literal}[337],شاكسبير، وليم,شاكسبير، وليم
schema:alternateName{Literal}[338],شاكسپير، وليم,شاكسپير، وليم
schema:alternateName{Literal}[339],شقسفير، ويليام,شقسفير، ويليام
schema:alternateName{Literal}[340],شكسبير، و,شكسبير، و
schema:alternateName{Literal}[341],شكسبير، و.,شكسبير، و.
schema:alternateName{Literal}[342],شكسبير، وليام,شكسبير، وليام
schema:alternateName{Literal}[343],شكسبير، وليام،,شكسبير، وليام،
schema:alternateName{Literal}[344],شكسبير، وليم,شكسبير، وليم
