skos:changeNote{URIRef}[43],ulan_rev:5507490493,skos:changeNote{URIRef}[43]
skos:changeNote{URIRef}[44],ulan_rev:5507490494,skos:changeNote{URIRef}[44]
skos:changeNote{URIRef}[45],ulan_rev:5507490495,skos:changeNote{URIRef}[45]
skos:changeNote{URIRef}[46],ulan_rev:5507490496,skos:changeNote{URIRef}[46]
skos:changeNote{URIRef}[47],ulan_rev:5507490497,skos:changeNote{URIRef}[47]
skos:changeNote{URIRef}[48],ulan_rev:5507490498,skos:changeNote{URIRef}[48]
skos:changeNote{URIRef}[49],ulan_rev:5507490499,skos:changeNote{URIRef}[49]
skos:changeNote{URIRef}[50],ulan_rev:5507490567,skos:changeNote{URIRef}[50]
skos:changeNote{URIRef}[51],ulan_rev:5507490619,skos:changeNote{URIRef}[51]
skos:changeNote{URIRef}[52],ulan_rev:5507490640,skos:changeNote{URIRef}[52]
skos:changeNote{URIRef}[53],ulan_rev:5507490661,skos:changeNote{URIRef}[53]
skos:closeMatch{URIRef},http://id.loc.gov/authorities/names/n79017983,skos:closeMatch{URIRef}
skos:exactMatch{URIRef},http://id.loc.gov/authorities/names/n79017983,skos:exactMatch{URIRef}
skos:inScheme{URIRef},http://vocab.getty.edu/ulan/,skos:inScheme{URIRef}
skos:mappingRelation{URIRef},http://id.loc.gov/authorities/names/n79017983,skos:mappingRelation{URIRef}
skos:note{URIRef}[0],ulan_rev:5500062002,skos:note{URIRef}[0]
skos:note{URIRef}[1],ulan_rev:5500062003,skos:note{URIRef}[1]
skos:note{URIRef}[2],ulan_rev:5500062004,skos:note{URIRef}[2]
skos:note{URIRef}[3],ulan_rev:5501520580,skos:note{URIRef}[3]
skos:note{URIRef}[4],ulan_rev:5501520582,skos:note{URIRef}[4]
skos:note{URIRef}[5],ulan_rev:5501520587,skos:note{URIRef}[5]
skos:note{URIRef}[6],ulan_rev:5503785080,skos:note{URIRef}[6]
skos:note{URIRef}[7],ulan_rev:5503785087,skos:note{URIRef}[7]
skos:note{URIRef}[8],ulan_rev:5503785421,skos:note{URIRef}[8]
skos:note{URIRef}[9],ulan_rev:5504078479,skos:note{URIRef}[9]
skos:note{URIRef}[10],ulan_rev:5504078485,skos:note{URIRef}[10]
skos:note{URIRef}[11],ulan_rev:5504078488,skos:note{URIRef}[11]
skos:note{URIRef}[12],ulan_rev:5504719057,skos:note{URIRef}[12]
skos:note{URIRef}[13],ulan_rev:5504719058,skos:note{URIRef}[13]
skos:note{URIRef}[14],ulan_rev:5505621383,skos:note{URIRef}[14]
skos:note{URIRef}[15],ulan_rev:5505621401,skos:note{URIRef}[15]
