@id,http://id.worldcat.org/fast/29048,prop,http://id.loc.gov/authorities/names/n78095332,http://viaf.org/viaf/96994048,http://babelnet.org/rdf/data/s00008556n?output=xml,http://dbpedia.org/resource/William_Shakespeare
122,,Nab6615e54008461e8d70f4b39824ed66,Nab6615e54008461e8d70f4b39824ed66,,,
123,,Nb14d3a86604b4463b6ef67a3d3b4e1e3,Nb14d3a86604b4463b6ef67a3d3b4e1e3,,,
124,,Nc2e2df371d31444181d7a0757ab78ec8,Nc2e2df371d31444181d7a0757ab78ec8,,,
125,,Nc34bdac86dd14c09881983e464af14b6,Nc34bdac86dd14c09881983e464af14b6,,,
126,,Nce39a3b1c3fe4636a3549bc7203ed219,Nce39a3b1c3fe4636a3549bc7203ed219,,,
127,,Nd578ded3fb0e428c9713714b889d5d62,Nd578ded3fb0e428c9713714b889d5d62,,,
128,,Nd92c6fbf271644e5b8346780358f4dae,Nd92c6fbf271644e5b8346780358f4dae,,,
129,,Ndb0f995b43c44106aa22edbe157954c2,Ndb0f995b43c44106aa22edbe157954c2,,,
130,,Ne5ee2627bc974f188636c30221b4b183,Ne5ee2627bc974f188636c30221b4b183,,,
131,,Ne864518e89f043779b0f67edf28227c7,Ne864518e89f043779b0f67edf28227c7,,,
132,,Nef471a84875a4de885c59677162b3887,Nef471a84875a4de885c59677162b3887,,,
133,,Nf7908ae0a65544838c5ef9a20973d5a9,Nf7908ae0a65544838c5ef9a20973d5a9,,,
134,,N031cb863331e4dd0a3c6146015f78225,N031cb863331e4dd0a3c6146015f78225,,,
135,,N03b1c17eac204009bee84cb1b9b130d7,N03b1c17eac204009bee84cb1b9b130d7,,,
136,,N05e1ea2b42a34e47850fbf86ac87fed3,N05e1ea2b42a34e47850fbf86ac87fed3,,,
137,,N09c9fd256c04478d9af00f46b105ff97,N09c9fd256c04478d9af00f46b105ff97,,,
138,,N0a03a7ac81d7409d93ea5dca995ccd8e,N0a03a7ac81d7409d93ea5dca995ccd8e,,,
139,,N0b123c0ff85b45a4b482ea086efead97,N0b123c0ff85b45a4b482ea086efead97,,,
140,,N0d93e9efcf344ce2aa2cfdea35317945,N0d93e9efcf344ce2aa2cfdea35317945,,,
141,,N0fd9efc05b514e5087fb17fb051d8e3e,N0fd9efc05b514e5087fb17fb051d8e3e,,,
